OTU,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94
OTU_16S_1,125.0111378,141.4118188,204.6826413,148.5680888,126.6978923,121.6596343,104.0497807,115.0267832,105.0235869,98.60619929,113.0018459,81.82230281,157.2997416,182.9127113,134.7997261,181.2798472,122.4086871,88.84428481,72.32037691,98.6777669,96.14441283,54.44340505,203.2954962,156.4658829,132.9103628,193.5267857,186.3296744,181.4711122,76.11798287,81.11522151,121.2273326,66.25766871,83.67920739,113.3016442,235.2405985,193.6477382,131.3349815,235.7951231,158.9179181,138.3958234,124.7514911,104.708594,151.0450686,132.2245322,160.4191858,182.8622434,150.2775575,106.3281351,75.77960898,91.95599862,88.41068188,69.60322798,85.07513275
OTU_16S_2,51.23407289,90.97876907,152.7345894,50.96434833,89.46135831,135.021097,232.5818627,63.33991166,46.92543243,62.20095694,27.74573143,213.961922,73.07816537,44.91780505,75.91578227,24.73734479,322.4744982,171.6670188,96.58421673,135.7737512,22.36829197,201.3096352,97.4002197,88.95891407,53.2780218,61.27232143,43.72290379,31.68745228,63.45604918,119.642696,60.36267804,56.80981595,55.9646539,106.0547027,17.38778811,14.05197305,1.854140915,56.70283514,42.78954948,104.3189369,47.71371769,114.7513994,28.90267799,56.13305613,118.0975413,26.42070812,39.65107058,122.309576,399.1759573,108.800275,119.5229453,116.4256893,204.3836855
OTU_16S_3,60.3225519,89.98237143,96.03072983,63.471654,48.1264637,68.44819503,85.4840355,85.98815901,118.2653315,95.58976493,117.5011537,64.93653672,68.23320413,108.8214865,91.06470387,83.09455587,82.2639026,95.49968308,96.1130742,130.5093046,80.05493966,35.17305893,93.73855731,93.92800873,104.2785098,106.1383929,141.592104,189.6156783,64.48071434,68.66371921,85.33601054,81.34969325,82.20645334,110.7301488,128.1843914,87.29547642,167.9027606,131.7232528,60.48138243,75.84243,54.29920477,56.79947316,49.55911169,108.1912682,84.24022572,123.5346623,40.57626223,43.24010826,40.15188237,51.90787212,39.66813586,32.61600538,41.12529658
OTU_16S_4,64.77768868,64.84249253,62.1913298,37.52191701,14.28571429,69.62025316,88.74834234,57.5133916,42.70462633,82.27584772,32.93724042,20.17225748,23.57881137,47.58045844,58.88394385,24.35530086,28.4633103,75.42784703,42.99175501,25.83251714,18.93456294,60.80449018,34.12669352,54.53884378,70.35952497,51.45089286,57.37478092,133.6217867,67.70109054,75.16015519,60.48817218,56.56441718,39.76435935,106.2105509,28.40679337,22.52165544,22.04367532,23.33450006,21.80621271,44.32842905,33.05168986,38.85413237,14.94121489,46.15384615,34.26037888,36.12020232,9.384086704,20.68565537,78.60720633,52.42351323,63.90977444,41.1062542,50.1638233
OTU_16S_5,3.385903947,2.529317084,5.487470276,0,5.035128806,12.89263947,221.6668367,194.5305892,176.6117686,5.512793842,26.30364559,16.31912965,20.59108527,27.43690669,26.70318384,20.05730659,3.126028299,9.296429326,4.946996466,0,142.8431276,0,2.270230685,2.545146043,0,7.8125,13.92860437,31.94196997,19.32225719,24.54209149,11.92194265,24.90797546,5.757129468,5.688459441,78.34613829,178.9220404,9.682735888,11.31723253,39.90948365,81.72757475,39.26441352,395.9499506,2.286087524,7.401247401,0,2.618268373,2.51123447,5.477509988,26.4178381,50.87658989,24.11200415,42.53530599,28.9232855
OTU_16S_6,20.40452642,35.87031501,35.48564112,10.75394506,7.494145199,10.07969995,27.44057941,37.40249977,58.34643714,27.87601415,33.05260729,64.82320943,10.57816537,86.13104885,63.59123588,49.37917861,24.18558736,29.47390661,16.84334511,3.183153771,2.158343962,0,82.16770414,38.29838807,37.00992354,51.11607143,22.78387603,87.55408501,6.660323501,5.323468375,6.713936123,37.05521472,22.89463114,20.64988701,130.2062273,71.8960539,116.0898228,154.0077004,14.40032915,35.5956336,23.98111332,20.74415542,6.694970607,25.77962578,20.55622733,25.17108004,7.599788528,11.21278515,4.281790273,12.20350636,6.481721545,6.640887693,7.456784544
OTU_16S_7,21.83017019,38.55292404,53.22846168,25.24839275,41.21779859,44.30379747,30.2968479,22.36631895,27.14557643,28.39608904,9.460083064,5.213055304,32.38049096,23.73234545,21.22560767,37.82234957,15.05429418,21.65645468,35.68904594,29.26052889,16.58000589,0,35.07872574,15.39207369,20.74182528,51.78571429,23.42957292,30.92389921,40.69384469,25.53460254,23.02817343,37.05521472,39.76435935,19.40310138,62.57581884,9.720885467,0,8.983782522,24.78913804,38.06359753,26.71471173,27.32960158,26.77988243,54.38669439,27.4083031,39.51204999,24.12106794,19.01018172,30.05332041,44.00137504,51.07596578,68.76260928,47.56524686
OTU_16S_8,22.27568386,26.97938223,49.75306384,22.55990649,27.40046838,33.05203938,28.05263695,21.14462926,27.64214185,34.32494279,23.36179049,7.479601088,49.25710594,51.74808984,31.15371448,58.16618911,18.8384337,16.37439256,19.43462898,10.28403526,6.671244972,0,30.75796412,25.20906557,28.79453392,51.78571429,24.7209667,40.72283024,13.54021811,19.48930795,12.29842505,26.25766871,21.82353729,15.03935167,37.10068742,10.20211742,6.489493201,33.83502508,49.37255709,46.22686284,45.10437376,27.82351004,33.638145,25.77962578,50.38291012,39.39303779,25.50885541,15.59479314,15.91533366,20.96940529,20.48224008,20.93140551,15.81742176
OTU_16S_9,0,3.219130835,0,3.974284044,0,0,173.6203203,40.69166432,169.9908963,49.92718952,12.113521,10.31278332,10.90116279,25.58462607,14.37863745,15.09073543,5.676209279,15.52926262,9.658421673,3.183153771,24.42852938,0,7.543024533,7.999030421,8.622092077,45.42410714,29.14860253,59.68439807,10.68579375,34.91834341,11.48271318,30.42944785,12.58535279,7.324865581,28.20460979,14.533205,0,2.800140007,29.72639375,34.36165164,37.52485089,96.31215015,3.429131287,13.55509356,0,2.737280571,0,5.413068694,20.52027791,41.59504985,27.61213378,37.07128447,25.75980115
OTU_16S_10,28.69108082,25.21652487,38.04646058,30.74225599,19.20374707,26.2541022,40.49780679,22.36631895,17.04874617,32.8687331,12.69035533,29.91840435,24.06330749,25.81616115,24.90585416,28.65329513,19.0852254,30.10775407,26.26619552,24.60822723,20.30805455,28.81197381,13.54815086,23.39110411,36.68456157,25.78125,24.7209667,18.5797913,16.83378467,29.41441848,36.95802221,22.08588957,20.08300977,42.85825606,15.06267691,19.53801732,7.210548002,18.31758255,17.38325447,26.4831514,21.86878728,36.87849852,23.67733508,14.88565489,49.57678356,10.77060399,17.04996035,28.48305194,20.03554694,16.32863527,19.57479907,8.742434432,13.10586374
