OTU,V41,V42,V43,V45,V44,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V93,V94
OTU3686,3.222341568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4166,225.5639098,0,0,1.828153565,0,1.048218029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3468,183.6734694,16.6481687,35.982009,23.76599634,21.22641509,10.48218029,1.278772379,4.545454545,0,3.189792663,5.208333333,43.95604396,6.980802792,2.403846154,4.901960784,45.14363885,0,9.638554217,3.311258278,0,0,0,0,8.090614887,8.403361345,2.518891688,0,6.024096386,0,0,1.078748652,4.926108374,30.66271019,25.21008403,15.0273224,8,7.54147813,71.94244604,11.23595506,0,0,1.420454545,1.445086705,0,0,0,1.447178003,1.394700139,29.19708029,1.526717557,12.13592233,0,8.976660682
OTU3210,313.641246,64.37291898,40.47976012,0,9.433962264,9.433962264,11.50895141,1.515151515,0,0,7.8125,3.663003663,1.745200698,0,1.633986928,1.367989056,0,19.27710843,0,0,0,0,0,59.87055016,9.603841537,2.518891688,1.404494382,0,11.54401154,2.60756193,0,0,0.989119683,0,0,6.4,0,0,1.123595506,6.651884701,23.35456476,1.420454545,0,0,0,4.739336493,0,0,0,7.633587786,0,24.22145329,260.3231598
OTU4222,1370.56928,2.219755827,11.994003,0,20.04716981,0,0,0,0,0,18.22916667,54.94505495,0,0,0,0,0,8568.674699,19.86754967,3.105590062,0,29.01785714,0,1.618122977,6.00240096,2.518891688,5.617977528,0,2.886002886,1036.505867,30.20496224,4.926108374,0,5.042016807,0,1.6,1.508295626,0,0,0,6.369426752,0,11.56069364,39.73509934,1.672240803,4.739336493,0,0,2.433090024,0,0,0,0
OTU2762,74.11385607,5.549389567,0,0,2.358490566,1.048218029,1.278772379,0,0,0,0,1.831501832,36.64921466,0,3.267973856,0,5.309734513,4.819277108,0,3.105590062,2.237136465,11.16071429,0,0,15.6062425,5.037783375,49.15730337,2.008032129,0,6.518904824,2.157497303,8.620689655,0.989119683,1.680672269,0,6.4,3.016591252,1.438848921,0,2.2172949,0,0,0,0,0,2.369668246,0,0,0,0,0,0,0
OTU2133,171.858217,0,0,0,0,0,1.278772379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2214,22.55639098,59.93340733,29.9850075,29.25045704,252.3584906,8.385744235,3.836317136,6.060606061,0,0,2.604166667,0,0,21.63461538,6.535947712,24.62380301,0,0,0,0,0,0,0,1.618122977,1.200480192,0,2.808988764,0,0,0,0,0,9.891196835,0,9.56284153,12.8,13.57466063,35.97122302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU897,177.2287863,1099.889012,236.8815592,195.6124314,90.80188679,473.7945493,1121.483376,406.0606061,1456.359102,673.046252,91.14583333,1390.10989,73.29842932,125,78.43137255,149.1108071,2861.946903,325.3012048,231.7880795,77.63975155,87.24832215,129.4642857,415.4929577,205.5016181,195.6782713,98.23677582,169.9438202,325.3012048,261.1832612,215.1238592,526.429342,550.4926108,609.297725,366.3865546,331.9672131,128,218.7028658,129.4964029,170.7865169,93.12638581,337.5796178,430.3977273,260.1156069,33.11258278,357.8595318,127.9620853,254.7033285,139.4700139,485.4014599,419.8473282,854.368932,176.4705882,644.524237
OTU4050,644.4683136,1220.865705,262.3688156,226.691042,247.6415094,1103.773585,1430.946292,777.2727273,2236.907731,304.6251994,716.1458333,461.5384615,462.478185,1004.807692,1181.372549,633.378933,292.0353982,2077.108434,963.5761589,500,510.0671141,1424.107143,961.2676056,614.8867314,756.302521,284.6347607,1511.235955,2066.26506,823.953824,1104.302477,984.8975189,1011.083744,2006.923838,719.3277311,689.8907104,187.2,622.9260935,956.8345324,458.4269663,1044.345898,772.8237792,1306.818182,4187.861272,132.4503311,1361.204013,445.4976303,522.431259,397.4895397,554.7445255,341.9847328,332.5242718,110.7266436,233.3931777
