succession,field,sample,short_line,ind_line,SOM,PO4,N_percentage,C_percentage,CN_ratio, YSA
roadverge,TW2,V41,TW2_1,A121,5.75,45.13,0.29,5.47,18.83,NA
roadverge,TW2,V42,TW2_2,A122,6.15,45.03,0.20,3.91,19.13,NA
roadverge,TW2,V43,TW2_3,A123,5.74,40.08,0.20,3.78,18.96,NA
roadverge,TW2,V44,TW2_4,A124,4.52,30.81,0.14,2.85,20.99,NA
roadverge,TW2,V45,TW2_5,A125,5.44,33.82,0.21,3.71,17.94,NA
roadverge,TW2,V46,TW2_6,A126,6.11,44.29,0.19,3.66,19.02,NA
mid,TW1,V47,TW1_2,A134,6.24,66.91,0.22,4.12,18.45,16
mid,TW1,V48,TW1_4,A136,3.76,62.62,0.15,2.63,18.08,16
mid,TW1,V49,TW1_5,A137,6.07,84.72,0.17,3.15,18.52,16
mid,TW1,V50,TW1_6,A138,4.74,85.70,0.20,3.61,17.85,16
roadverge,AR2,V51,AR2_1,A145,9.09,53.68,0.46,7.18,15.53,NA
roadverge,AR2,V52,AR2_2,A146,11.50,141.30,0.57,8.12,14.29,NA
roadverge,AR2,V53,AR2_3,A147,7.73,40.84,0.43,6.20,14.56,NA
roadverge,AR2,V54,AR2_4,A148,7.51,62.52,0.28,4.83,17.27,NA
roadverge,AR2,V55,AR2_5,A149,7.76,88.85,0.29,4.74,16.34,NA
roadverge,AR2,V56,AR2_6,A150,8.08,57.05,0.26,4.15,15.96,NA
mid,REIJ,V57,REIJ_1,A157,7.26,62.30,0.27,5.28,19.60,13
mid,REIJ,V58,REIJ_2,A158,5.41,72.32,0.23,4.16,18.21,13
mid,REIJ,V59,REIJ_3,A159,5.88,56.25,0.22,4.31,20.02,13
mid,REIJ,V60,REIJ_4,A160,1.67,13.32,NA,1.14,NA,13
mid,REIJ,V61,REIJ_5,A161,1.71,15.63,NA,0.86,NA,13
mid,REIJ,V62,REIJ_6,A162,0.57,8.38,NA,0.23,NA,13
late,DK,V63,DK_1,A169,5.96,38.05,0.19,3.38,18.06,36
late,DK,V64,DK_2,A170,5.66,28.66,0.30,5.17,17.23,36
late,DK,V65,DK_3,A171,5.78,27.95,0.18,2.91,15.88,36
late,DK,V66,DK_4,A172,6.85,29.39,0.25,4.17,16.57,36
late,DK,V67,DK_5,A173,6.55,19.50,0.22,3.65,16.39,36
late,DK,V68,DK_6,A174,6.48,22.59,0.23,3.92,17.28,36
mid,OR,V69,OR_1,A181,5.89,71.06,0.23,4.49,19.79,13
mid,OR,V70,OR_2,A182,6.56,86.63,0.28,5.36,19.11,13
mid,OR,V71,OR_3,A183,6.07,79.25,0.17,3.69,21.38,13
mid,OR,V72,OR_4,A184,6.39,91.56,0.24,5.02,20.77,13
mid,OR,V73,OR_5,A185,6.36,85.90,0.24,5.07,20.69,13
mid,OR,V74,OR_6,A186,5.80,83.33,0.21,4.30,20.59,13
late,NR,V75,NR_1,A193,4.65,61.05,0.20,2.88,14.60,28
late,NR,V76,NR_2,A194,5.88,60.39,0.36,4.96,13.72,28
late,NR,V77,NR_4,A196,5.17,99.08,0.37,5.63,15.19,28
late,NR,V78,NR_5,A197,5.32,76.46,0.17,2.61,14.95,28
late,MV,V79,MV_1,A205,5.55,61.65,0.23,3.58,15.83,33
late,MV,V80,MV_2,A206,4.86,57.85,0.20,2.93,14.96,33
late,MV,V81,MV_3,A207,5.14,53.78,0.18,2.80,15.39,33
late,MV,V82,MV_5,A209,4.69,56.83,0.15,2.41,16.25,33
late,MV,V83,MV_6,A210,4.57,42.05,0.22,3.43,15.38,33
late,MO,V84,MO_1,A217,8.41,69.42,0.33,4.73,14.23,23
late,MO,V85,MO_2,A218,5.50,63.94,0.29,3.93,13.35,23
late,MO,V86,MO_3,A219,6.70,71.35,0.32,4.64,14.41,23
late,MO,V87,MO_4,A220,5.60,69.49,0.23,3.49,14.89,23
late,MO,V88,MO_5,A221,7.38,62.77,0.30,4.31,14.48,23
late,MO,V89,MO_6,A222,6.78,61.78,0.29,4.23,14.73,23
agri,AR3,V90,AR3_3,A231,5.95,77.29,0.18,3.45,18.95,0
agri,AR3,V91,AR3_5,A233,5.82,72.60,0.25,4.91,19.54,0
agri,AR1,V92,AR1_3,A237,6.46,100.63,0.23,4.20,18.44,0
agri,AR1,V93,AR1_5,A239,6.60,84.60,0.17,2.98,17.79,0
agri,AR1,V94,AR1_6,A240,6.42,95.74,0.20,4.09,20.72,0
