OTU_number,Kingdom,Phylum,Class,Order,Family,Genus,Species,V41,V42,V43,V45,V44,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94
OTU3686,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleomassariaceae,Prosthemium,Prosthemium_intermedium_SH1645875.08FU,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4166,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Crocicreas,Crocicreas_tomentosum_SH1171432.08FU,210,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3468,Fungi,Ascomycota,NA,NA,NA,NA,NA,171,15,24,13,18,10,1,3,0,2,2,24,4,1,3,33,0,4,1,0,0,0,0,5,7,1,0,3,0,0,1,4,31,15,11,5,5,50,10,0,0,1,1,0,0,0,1,1,24,1,5,0,0,5
OTU3210,Fungi,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,NA,292,58,27,0,8,9,9,1,0,0,3,2,1,0,1,1,0,8,0,0,0,0,0,37,8,1,1,0,8,2,0,0,1,0,0,4,0,0,1,3,11,1,0,0,0,2,0,0,0,5,0,0,7,145
OTU4222,Fungi,Ascomycota,NA,NA,NA,NA,NA,1276,2,8,0,17,0,0,0,0,0,7,30,0,0,0,0,0,3556,6,1,0,13,0,1,5,1,4,0,2,795,28,4,0,3,0,1,1,0,0,0,3,0,8,6,1,2,0,0,2,0,0,0,0,0
OTU2762,Fungi,NA,NA,NA,NA,NA,NA,69,5,0,0,2,1,1,0,0,0,0,1,21,0,2,0,3,2,0,1,1,5,0,0,13,2,35,1,0,5,2,7,1,1,0,4,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU2133,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,unidentified,Serendipitaceae_sp_SH1547983.08FU,160,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2214,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Pochonia,Pochonia_globispora_SH1552464.08FU,21,54,20,16,214,8,3,4,0,0,1,0,0,9,4,18,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,10,0,7,8,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU897,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola_SH1649268.08FU,165,991,158,107,77,452,877,268,584,422,35,759,42,52,48,109,1617,135,70,25,39,58,118,127,163,39,121,162,181,165,488,447,616,218,243,80,145,90,152,42,159,303,180,5,214,54,176,100,399,275,352,1,51,359
OTU4050,Fungi,NA,NA,NA,NA,NA,NA,600,1100,175,124,210,1053,1119,513,897,191,275,252,265,418,723,463,165,862,291,161,228,638,273,380,630,113,1076,1029,571,847,913,821,2029,428,505,117,413,665,408,471,364,920,2898,20,814,188,361,285,456,224,137,3,32,130
OTU1393,Fungi,NA,NA,NA,NA,NA,NA,76,14,1,6,1,48,7,0,0,2,0,0,5,4,0,9,0,0,22,0,0,0,1,0,0,0,6,0,1,1,28,3,0,1,0,0,2,5,1,1,12,1,4,1,7,1,3,39,39,302,4,0,3,1
OTU3045,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales_sp_SH1582440.08FU,137,367,73,165,17,8,567,631,98,685,1,1,1,94,25,116,0,1,0,0,0,0,17,38,52,45,81,27,20,147,59,302,182,163,315,7,3,31,62,52,143,63,151,0,169,458,461,73,35,0,0,0,0,1
OTU3973,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA,216,3,0,1,1,5,29,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9,0,2,1,0,1,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1
OTU4188,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,NA,198,460,292,67,269,336,144,58,0,18,1160,48,123,558,365,1009,22,7,138,92,146,59,18,41,125,45,446,15,35,1186,1004,19,275,67,16,3,7,20,41,18,119,27,10,19,76,133,183,389,155,9,6,0,0,2
OTU3790,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,NA,171,131,42,39,34,72,169,18,20,5,3,4,10,19,8,11,26,5,7,292,18,3,6,41,21,8,29,3,15,73,209,12,111,15,5,12,16,3,25,13,54,12,1,8,65,18,192,85,298,16,52,0,7,13
OTU3235,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,NA,NA,215,241,32,6,89,148,1,0,3,1,326,48,37,23,91,77,9,53,2,9,6,11,13,190,52,13,38,47,1601,1613,1884,319,403,578,13,47,5,32,126,211,128,546,1499,1,15,20,3,33,45,445,16,0,16,43
OTU3638,Fungi,NA,NA,NA,NA,NA,NA,1030,20,1,106,16,48,43,0,33,14,2,2,27,18,0,159,5,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,144,5,1,0,0,0,0,7,244,1,70,2,29,0,0,0
OTU3105,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Drechslera,Drechslera_sp_SH1575707.08FU,920,233,77,137,213,7,1324,228,388,388,34,5,14,285,25,264,214,487,124,219,18,7,145,124,604,63,245,146,59,97,243,675,354,90,192,49,19,126,78,25,189,189,88,3,209,158,38,31,14,2,0,0,0,7
OTU2621,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,NA,NA,3,0,1,0,0,0,0,0,0,0,0,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3119,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora_sp_SH1650961.08FU,286,122,35,48,14,26,3,4,46,18,0,21,0,2,0,1,1,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0
OTU1308,Fungi,NA,NA,NA,NA,NA,NA,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1320,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,NA,933,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,78,0,889,1,0,0,3,7,133,2,0,2041,0,0,0,0,0,0,0,17,1,2,0,0,0,0,0
OTU3944,Fungi,Ascomycota,Leotiomycetes,Phacidiales,Phacidiaceae,Gremmenia,Gremmenia_infestans_SH1522484.08FU,721,135,54,92,61,107,236,304,19,53,2,113,5,32,304,11,2904,278,189,72,108,136,8,237,356,7,1557,80,7,108,216,97,20,355,16,144,839,177,203,7,34,13,2,0,328,205,44,7,46,6,14,0,2,9
OTU806,Fungi,NA,NA,NA,NA,NA,NA,9,4,1,0,1,5,1,8,2,3,2,0,0,4,2,0,0,0,2,0,1,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,3,1,0,0,0,0,4,8,108,18,0,0,1
OTU3575,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora,Cercophora_sp_SH1615751.08FU,28,2,1,0,47,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
OTU3313,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA,242,5,0,0,52,101,2,1,0,5,0,38,3,7,0,13,225,1,0,0,8,1,0,0,8,0,1,1,0,1,0,1,0,1,0,28,0,4,0,3,0,0,2,0,1,5,2,3,52,1,0,0,0,0
OTU226,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp_SH1243080.08FU,38,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3951,Fungi,Ascomycota,NA,NA,NA,NA,NA,29,65,8,14,19,60,10,42,0,4,12,143,9,20,23,29,6,5,1,0,0,0,0,0,1,0,0,0,32,29,68,171,267,51,31,1,0,2,0,0,0,0,0,0,0,1,1,0,1,20,25,1,3,37
OTU1909,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,NA,374,651,250,182,408,893,397,232,356,274,128,254,175,113,224,608,436,146,121,188,429,14,125,166,429,99,181,178,92,109,604,273,532,197,388,252,231,327,279,110,244,504,175,14,258,151,398,217,499,183,126,1,10,33
OTU3913,Fungi,Ascomycota,NA,NA,NA,NA,NA,1292,29,76,430,1380,120,166,203,22,361,27,152,19,18,146,149,139,570,108,181,55,349,0,34,272,15,174,88,7,210,220,66,121,52,38,167,33,125,198,10,301,19,280,19,371,464,161,378,168,14,19,0,14,396
OTU2572,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA,233,108,51,9,60,14,15,13,12,10,0,1,1,2,0,3,45,262,68,7,6,43,41,32,101,9,118,342,77,106,117,110,90,20,257,25,18,50,161,16,47,105,193,3,70,31,79,40,44,1,2,0,2,9
OTU3745,Fungi,Ascomycota,NA,NA,NA,NA,NA,663,830,147,218,72,357,552,311,1997,497,220,98,37,1021,423,39,117,314,437,597,113,188,51,115,258,84,452,685,398,1348,1038,377,1376,177,401,309,474,246,285,57,220,432,672,65,312,448,1292,337,219,41,15,0,1,0
OTU2766,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,unidentified,unidentified,Chaetothyriales_sp_SH1550213.08FU,8,57,6,1,4,21,5,0,2,2,0,0,0,0,0,0,8,3,2,54,5,159,6,0,8,0,0,5,1,0,3,6,12,2,0,0,0,1,1,1,1,2,3,0,12,4,8,0,3,2,3,0,0,0
OTU2989,Fungi,Basidiomycota,Tremellomycetes,unidentified,unidentified,unidentified,Tremellomycetes_sp_SH1565618.08FU,13,3,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
